snapshot_id,source_revision,pad_id,legacy_id,pad_name,county,township,record_revision,has_reviewed_directions,has_structured_sequence,selected_destination_source,selected_latitude,selected_longitude,verified_entrance_latitude,verified_entrance_longitude,saved_pad_latitude,saved_pad_longitude,odnr_pad_latitude,odnr_pad_longitude,odnr_wellhead_latitude,odnr_wellhead_longitude,public_google_route,public_google_handoff
098667bf-a39f-4e7b-86e1-0706c882943c,6,a6fafe63-0153-4e09-a931-0da5b65b18ea,ascent--eureka,EUREKA,Belmont,SMITH,1786265812046205,true,true,saved_pad_reference,40.01486,-80.920507,,,40.01486,-80.920507,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,4166a215-45bb-4662-82e2-80bb0184703b,ascent--exeter,EXETER,Belmont,Richland,1786265812046205,true,true,official_pad_reference,40.099352,-80.984043,,,,,40.099352,-80.984043,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,46b82718-a6ca-437a-a2c6-f50c3f57c552,ascent--ezekiel,EZEKIEL,Belmont,Warren,1787459253071652,false,false,saved_pad_reference,40.005527,-81.207719,,,40.005527,-81.207719,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,f5944b59-285c-4c82-aeba-98b3d1fba4ae,ascent--fleagane,FLEAGANE,Belmont,PULTNEY,1786258360881449,true,true,saved_pad_reference,40.048011,-80.795112,,,40.048011,-80.795112,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,ed1df007-6cd9-4704-9d48-f72209cefa29,ascent--geoflo,GEOFLO,Belmont,WHEELING,1786265812046205,true,true,saved_pad_reference,40.120221,-80.921817,,,40.120221,-80.921817,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,a02e60ee-e32a-4c10-a7c5-b284395159fd,ascent--grand,GRAND,Belmont,Warren,1786265512886177,true,true,official_wellhead_reference,40.013451,-81.160887,,,,,,,40.013451,-81.160887,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,f2f82142-f6d8-4f8d-b440-2ff86f624158,ascent--hastings,HASTINGS,Belmont,WHEELING,1786265812046205,true,true,saved_pad_reference,40.163138,-81.021428,,,40.163138,-81.021428,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,952f385d-659a-4f00-80c6-3aff474d5f27,ascent--heller,HELLER,Belmont,MEAD,1786265812046205,true,true,saved_pad_reference,39.974278,-80.887661,,,39.974278,-80.887661,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,036d0ac7-d72e-49e4-a400-ee0a631029e1,ascent--henderson,HENDERSON,Belmont,RICHLAND,1786265812046205,true,true,saved_pad_reference,40.050354,-80.935656,,,40.050354,-80.935656,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,07b566cd-393e-49f6-9547-676438aefc1a,ascent--hindman,HINDMAN,Belmont,Richland,1786246617744175,true,true,official_pad_reference,40.080894,-80.842001,,,,,40.080894,-80.842001,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,85d74b99-da49-4a5a-aadf-1ce2b461071c,ascent--kaldor,KALDOR,Belmont,MEAD,1786265812046205,true,true,saved_pad_reference,39.976061,-80.838183,,,39.976061,-80.838183,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,947959e6-8297-4b03-b591-25d196e7b1c0,ascent--kasetta,KASETTA,Belmont,York,1786265812046205,true,true,saved_pad_reference,39.92,-80.87,,,39.92,-80.87,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,c09f4dd1-68f9-46d1-90b3-560240550ecd,ascent--kemper,KEMPER,Belmont,Richland,1786265812046205,true,true,saved_pad_reference,39.98664,-80.84253,,,39.98664,-80.84253,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,3d920c70-2910-4b0a-a85a-442cd477802f,ascent--krnyaich,KRNYAICH,Belmont,MEAD,1786258360881449,true,true,saved_pad_reference,39.966783,-80.851178,,,39.966783,-80.851178,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,47a0305e-c641-499b-990c-0f7fe83493b8,ascent--kungle-a,KUNGLE A,Belmont,YORK,1787459253071652,true,true,saved_pad_reference,39.88507,-80.88258,,,39.88507,-80.88258,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,ad5ef012-46f5-46ca-93c7-0f5b492cb201,ascent--kungle-b,KUNGLE B,Belmont,YORK,1786258360881449,true,true,saved_pad_reference,39.88678,-80.87008,,,39.88678,-80.87008,,,,,false,false
