record_id,pad_name,company,state,original_step,standardized_display,review_reason
ascent--mingo,MINGO,Ascent,Ohio,Bloomingdale-smithfield-chandl/high St,Bloomingdale-smithfield-chandl/High St,slash/alias road name needs source verification
ascent--nolan,NOLAN,Ascent,Ohio,Bloomingdale- Smithfield-chandl/high St,Bloomingdale- Smithfield-chandl/High St,slash/alias road name needs source verification
ascent--oliver,OLIVER,Ascent,Ohio,SR-519 / Stumptown Rd,SR-519 / Stumptown Rd,slash/alias road name needs source verification
ascent--pearl,PEARL,Ascent,Ohio,19/main St,19/Main St,slash/alias road name needs source verification
ascent--piergallini,PIERGALLINI,Ascent,Ohio,C R 10/smithfield- Adena Rd,C R 10/Smithfield- Adena Rd,slash/alias road name needs source verification
ascent--piergallini,PIERGALLINI,Ascent,Ohio,C R 10/smithfield- Adena Rd,C R 10/Smithfield- Adena Rd,slash/alias road name needs source verification
ascent--raber,RABER,Ascent,Ohio,OH-800 / South/smyrna Rd,OH-800 / South/Smyrna Rd,slash/alias road name needs source verification
ascent--raber,RABER,Ascent,Ohio,Northeast On US-22 East/highland Ave,Northeast On US-22 East/Highland Ave,slash/alias road name needs source verification
ascent--rector,RECTOR,Ascent,Ohio,OH-150 / Township Rd,OH-150 / Township Rd,slash/alias road name needs source verification
ascent--roliff,ROLIFF,Ascent,Ohio,OH-800 / North/cemetery Hill Rd,OH-800 / North/Cemetery Hill Rd,slash/alias road name needs source verification
ascent--roliff,ROLIFF,Ascent,Ohio,OH-331 / Flushing Holloway Rd,OH-331 / Flushing Holloway Rd,slash/alias road name needs source verification
ascent--ronald,RONALD,Ascent,Ohio,CR-13 / County Rd,CR-13 / County Rd,slash/alias road name needs source verification
ascent--schnegg,SCHNEGG,Ascent,Ohio,CR-56 / Cats Run Rd,CR-56 / Cats Run Rd,slash/alias road name needs source verification
ascent--seabright,SEABRIGHT,Ascent,Ohio,CR-18 / Lansing- Cheermont Rd,CR-18 / Lansing- Cheermont Rd,slash/alias road name needs source verification
ascent--seabright,SEABRIGHT,Ascent,Ohio,SR-519 / Stumptown Rd,SR-519 / Stumptown Rd,slash/alias road name needs source verification
ascent--seabright,SEABRIGHT,Ascent,Ohio,CR-18 / Lansing- Cheermont Rd,CR-18 / Lansing- Cheermont Rd,slash/alias road name needs source verification
ascent--sherwood,SHERWOOD,Ascent,Ohio,US-22 / East/cadiz Rd,US-22 / East/Cadiz Rd,slash/alias road name needs source verification
ascent--stone,STONE,Ascent,Ohio,Northeast On Us-22/cadiz- Steubenville Rd,Northeast On Us-22/Cadiz- Steubenville Rd,slash/alias road name needs source verification
ascent--tarbert,TARBERT,Ascent,Ohio,OH-800 / South/johnson Ave,OH-800 / South/Johnson Ave,slash/alias road name needs source verification
ascent--thompson,THOMPSON,Ascent,Ohio,CR-10 / Smithfield Adena Rd,CR-10 / Smithfield Adena Rd,slash/alias road name needs source verification
ascent--wassmann,WASSMANN,Ascent,Ohio,SR-147 / Jefferson St,SR-147 / Jefferson St,slash/alias road name needs source verification
ascent--wiley,WILEY,Ascent,Ohio,Exit 176 For Us-50/7th St,Exit 176 For Us-50/7th St,slash/alias road name needs source verification
ascent--wilma,WILMA,Ascent,Ohio,Left/east Onto County Rd,Left/East Onto County Rd,slash/alias road name needs source verification
ascent--zeds,ZEDS,Ascent,Ohio,Mathews Lane/township Rd,Mathews Lane/Township Rd,slash/alias road name needs source verification
ascent--reilly,REILLY,Ascent,West Virginia,Exit 176 For Us-50/7th St,Exit 176 For Us-50/7th St,slash/alias road name needs source verification
cnx--magnum,MAGNUM,Cnx,Pennsylvania,Oak Forrest,Oak Forrest,local name lacks a recognized road-type suffix
cnx--mam16,MAM16,Cnx,Pennsylvania,See BP6,See BP6,local name lacks a recognized road-type suffix
eclipse--wheeler-unit,WHEELER-UNIT,Eclipse,Ohio,MR-328,MR-328,local name lacks a recognized road-type suffix
eog--acton,ACTON,Eog,Ohio,OH-152 / Lisbon St,OH-152 / Lisbon St,slash/alias road name needs source verification
eog--acton,ACTON,Eog,Ohio,Township Rd 372/acton Ln,Township Rd 372/Acton Ln,slash/alias road name needs source verification
eog--buck,BUCK,Eog,Ohio,That To Meter Rd,That to Meter Rd,step may contain narrative rather than an official road name
eog--burry,BURRY,Eog,Ohio,Military,Military,local name lacks a recognized road-type suffix
eog--caris,CARIS,Eog,Ohio,County Rd 60/circle Green Rd,County Rd 60/Circle Green Rd,slash/alias road name needs source verification
eog--cheetah,CHEETAH,Eog,Ohio,SR-78 / Mcconnelsville Rd,SR-78 / Mcconnelsville Rd,slash/alias road name needs source verification
eog--haley,HALEY,Eog,Ohio,Route 9 / Marble Rd,Route 9 / Marble Rd,slash/alias road name needs source verification
eog--harvey,HARVEY,Eog,Ohio,Buttercup,Buttercup,local name lacks a recognized road-type suffix
eog--henry,HENRY,Eog,Ohio,OH-43 / Main St,OH-43 / Main St,slash/alias road name needs source verification
eog--henry,HENRY,Eog,Ohio,Township Rd 218/county Rd,Township Rd 218/County Rd,slash/alias road name needs source verification
eog--janie-trust,JANIE-TRUST,Eog,Ohio,Steubenville Pike,Steubenville Pike,local name lacks a recognized road-type suffix
eog--janie-trust,JANIE-TRUST,Eog,Ohio,Steubenville Pike,Steubenville Pike,local name lacks a recognized road-type suffix
