record_id,pad_name,company,state,original_step,standardized_display,review_reason
expand--gary-kestner,GARY KESTNER,Expand,West Virginia,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
expand--gary-kestner,GARY KESTNER,Expand,West Virginia,CR-45 / Atkinson Crossing,CR-45 / Atkinson Crossing,slash/alias road name needs source verification
expand--gerald-gourley,GERALD GOURLEY,Expand,West Virginia,ALT-27,ALT-27,local name lacks a recognized road-type suffix
expand--gladys-briggs,GLADYS BRIGGS,Expand,West Virginia,CR-94 / Fish Ridge,CR-94 / Fish Ridge,slash/alias road name needs source verification
expand--james-seabright,JAMES SEABRIGHT,Expand,West Virginia,Bethany Pike,Bethany Pike,local name lacks a recognized road-type suffix
expand--james-seabright,JAMES SEABRIGHT,Expand,West Virginia,WV-88 / N/oglebay Dr,WV-88 / N/Oglebay Dr,slash/alias road name needs source verification
expand--melvin-kahle,MELVIN KAHLE,Expand,West Virginia,CR-8 / Chapel Hill Rd,CR-8 / Chapel Hill Rd,slash/alias road name needs source verification
expand--michael-ratcliffe,MICHAEL RATCLIFFE,Expand,West Virginia,CR-45 / P Rd,CR-45 / P Rd,slash/alias road name needs source verification
expand--michael-southworth,MICHAEL SOUTHWORTH,Expand,West Virginia,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
expand--nick-ballato,NICK BALLATO,Expand,West Virginia,ALT-27,ALT-27,local name lacks a recognized road-type suffix
expand--robert-bone,ROBERT BONE,Expand,West Virginia,CR-67 / Bethany Pike,CR-67 / Bethany Pike,slash/alias road name needs source verification
expand--roy-ferrell,ROY FERRELL,Expand,West Virginia,CR-41 / Dallas Pike,CR-41 / Dallas Pike,slash/alias road name needs source verification
expand--thelma-hays,THELMA HAYS,Expand,West Virginia,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
expand--thelma-hays,THELMA HAYS,Expand,West Virginia,CR-45 / Atkinson Crossing,CR-45 / Atkinson Crossing,slash/alias road name needs source verification
expand--timmy-minch,TIMMY MINCH,Expand,West Virginia,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
expand--violet-coss,VIOLET COSS,Expand,West Virginia,Cr 67/1 Mccords Hill Rd,Cr 67/1 Mccords Hill Rd,slash/alias road name needs source verification
expand--violet-coss,VIOLET COSS,Expand,West Virginia,Cr 67/1 Greens Run Rd,Cr 67/1 Greens Run Rd,slash/alias road name needs source verification
expand--wesbanco-bank,WESBANCO BANK,Expand,West Virginia,E. Fairmont/pricketts Creek Rd,E. Fairmont/Pricketts Creek Rd,slash/alias road name needs source verification
expand--william-rodgers,WILLIAM RODGERS,Expand,West Virginia,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
hg--mnd-23,MND 23,Hg,West Virginia,ALT-2,ALT-2,local name lacks a recognized road-type suffix
hg--shl-17,SHL 17,Hg,West Virginia,CR-41 / Dallas Pike Rd,CR-41 / Dallas Pike Rd,slash/alias road name needs source verification
hg--shl-17,SHL 17,Hg,West Virginia,CR-26 / Number Two Ridge Rd,CR-26 / Number Two Ridge Rd,slash/alias road name needs source verification
hilcorp--elkrun-baker,ELKRUN BAKER,Hilcorp,Ohio,CR-890 / Riffle Rd,CR-890 / Riffle Rd,slash/alias road name needs source verification
hilcorp--elkrun-baker,ELKRUN BAKER,Hilcorp,Ohio,CR-891 / Pine Hollow Rd,CR-891 / Pine Hollow Rd,slash/alias road name needs source verification
hilcorp--elkrun-baker,ELKRUN BAKER,Hilcorp,Ohio,CR-906 / Lusk Lock Rd,CR-906 / Lusk Lock Rd,slash/alias road name needs source verification
infinity--frame-well-pad,FRAME WELL PAD,Infinity,Ohio,SR-285 / Wintergreen Rd,SR-285 / Wintergreen Rd,slash/alias road name needs source verification
infinity--frame-well-pad,FRAME WELL PAD,Infinity,Ohio,CR-455 / Old Glory Rd,CR-455 / Old Glory Rd,slash/alias road name needs source verification
infinity--hn-sto,HN STO,Infinity,Ohio,Cr3/barricklow Rd,Cr3/Barricklow Rd,slash/alias road name needs source verification
infinity--hn-sto,HN STO,Infinity,Ohio,Cr2/deersville Ridge Rd,Cr2/Deersville Ridge Rd,slash/alias road name needs source verification
infinity--hn-sto,HN STO,Infinity,Ohio,Cr30/slab Camp Rd,Cr30/Slab Camp Rd,slash/alias road name needs source verification
infinity--hn-sto,HN STO,Infinity,Ohio,Cr1/brush Fork Rd,Cr1/Brush Fork Rd,slash/alias road name needs source verification
infinity--hn-sto,HN STO,Infinity,Ohio,Tr328/ourant Rd,Tr328/Ourant Rd,slash/alias road name needs source verification
range--bernard-schultz,BERNARD SCHULTZ,Range,Pennsylvania,S. Fayette Way,S. Fayette Way,local name lacks a recognized road-type suffix
range--bird-run,BIRD RUN,Range,Pennsylvania,SR-4020 / Oak Grove Rd,SR-4020 / Oak Grove Rd,slash/alias road name needs source verification
range--bird-run,BIRD RUN,Range,Pennsylvania,SR-4049 / Main St,SR-4049 / Main St,slash/alias road name needs source verification
range--bird-run,BIRD RUN,Range,Pennsylvania,SR-4047 / Old Hickory Ridge Rd,SR-4047 / Old Hickory Ridge Rd,slash/alias road name needs source verification
range--james-drape,JAMES DRAPE,Range,Pennsylvania,SR-1001 / Freeport Rd,SR-1001 / Freeport Rd,slash/alias road name needs source verification
range--kelley-brownlee,KELLEY BROWNLEE,Range,Pennsylvania,Hickory Nut,Hickory Nut,local name lacks a recognized road-type suffix
swn--holliday-unit,HOLLIDAY UNIT,Swn,Ohio,CR-64 / Cochran Hill Rd,CR-64 / Cochran Hill Rd,slash/alias road name needs source verification
swn--dmc-east,DMC EAST,Swn,Pennsylvania,Red Flashing 4 Way,Red Flashing 4 Way,local name lacks a recognized road-type suffix
swn--dmc-east,DMC EAST,Swn,Pennsylvania,Rt 40. One Way,Rt 40. One Way,local name lacks a recognized road-type suffix
swn--sandra-parr,SANDRA PARR,Swn,Pennsylvania,Dallas Pike,Dallas Pike,local name lacks a recognized road-type suffix
swn--susan-scofield,SUSAN SCOFIELD,Swn,Pennsylvania,Dallas Pike,Dallas Pike,local name lacks a recognized road-type suffix
swn--betty-schafer,BETTY SCHAFER,Swn,West Virginia,No Well Traffic This Way,No Well Traffic This Way,local name lacks a recognized road-type suffix
swn--carl-rotter,CARL ROTTER,Swn,West Virginia,Dallas Pike,Dallas Pike,local name lacks a recognized road-type suffix
swn--charles-jamison,CHARLES JAMISON,Swn,West Virginia,New Bethel,New Bethel,local name lacks a recognized road-type suffix
swn--charles-yoho,CHARLES YOHO,Swn,West Virginia,T/l On Stulls Run Rd,T/L On Stulls Run Rd,slash/alias road name needs source verification
swn--dnr-b,DNR B,Swn,West Virginia,Alt27east T/r Tent Church Rd,Alt27east T/R Tent Church Rd,slash/alias road name needs source verification
swn--ester-weeks,ESTER WEEKS,Swn,West Virginia,CR-23 / Stone Chruch Rd,CR-23 / Stone Chruch Rd,slash/alias road name needs source verification
swn--john-good-jr,JOHN GOOD JR,Swn,West Virginia,CR-24 / Mcadoo Ridge Rd,CR-24 / Mcadoo Ridge Rd,slash/alias road name needs source verification
swn--kathy-mahew,KATHY MAHEW,Swn,West Virginia,Girtys Point,Girtys Point,local name lacks a recognized road-type suffix
swn--linda-greathouse,LINDA GREATHOUSE,Swn,West Virginia,Girtys Point,Girtys Point,local name lacks a recognized road-type suffix
swn--linda-greathouse,LINDA GREATHOUSE,Swn,West Virginia,Hukill,Hukill,local name lacks a recognized road-type suffix
swn--mark-edison,MARK EDISON,Swn,West Virginia,Cr 88/10 Hanlin Hill Rd,Cr 88/10 Hanlin Hill Rd,slash/alias road name needs source verification
swn--mark-hickman,MARK HICKMAN,Swn,West Virginia,CR-41 / Dallas Pike,CR-41 / Dallas Pike,slash/alias road name needs source verification
swn--michael-southworth,MICHAEL SOUTHWORTH,Swn,West Virginia,Grove T/l On Elliots Ln,Grove T/L On Elliots Ln,slash/alias road name needs source verification
swn--nick-ballota,NICK BALLOTA,Swn,West Virginia,Route 27 / Eldervilles Rd,Route 27 / Eldervilles Rd,slash/alias road name needs source verification
swn--robert-bone,ROBERT BONE,Swn,West Virginia,Bethany Pike,Bethany Pike,local name lacks a recognized road-type suffix
swn--roy-ferrell,ROY FERRELL,Swn,West Virginia,CR-41 / Dallas Pike,CR-41 / Dallas Pike,slash/alias road name needs source verification
swn--shawn-couch,SHAWN COUCH,Swn,West Virginia,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
swn--timmy-minch,TIMMY MINCH,Swn,West Virginia,That To Browns Run,That to Browns Run,step may contain narrative rather than an official road name
swn--william-rodgers,WILLIAM RODGERS,Swn,West Virginia,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
